,availability,location,bhk,total_sqft,bath,price,total_sqftbybhk
0,0,1st Block Jayanagar,4.0,2850.0,4.0,428.0,712.5
1,0,1st Block Jayanagar,3.0,1630.0,3.0,194.0,543.3333333333334
2,1,1st Block Jayanagar,3.0,1875.0,2.0,235.0,625.0
3,0,1st Block Jayanagar,3.0,1200.0,2.0,130.0,400.0
4,0,1st Block Jayanagar,2.0,1235.0,2.0,148.0,617.5
5,0,1st Block Jayanagar,4.0,2750.0,4.0,413.0,687.5
6,0,1st Block Jayanagar,4.0,2450.0,4.0,368.0,612.5
8,1,1st Phase JP Nagar,3.0,1875.0,3.0,167.0,625.0
9,1,1st Phase JP Nagar,5.0,1500.0,5.0,85.0,300.0
10,1,1st Phase JP Nagar,3.0,2065.0,4.0,210.0,688.3333333333334
12,1,1st Phase JP Nagar,3.0,2059.0,3.0,225.0,686.3333333333334
13,1,1st Phase JP Nagar,2.0,1394.0,2.0,100.0,697.0
14,0,1st Phase JP Nagar,2.0,1077.0,2.0,93.0,538.5
15,1,1st Phase JP Nagar,1.0,839.9149199999999,1.0,63.0,839.9149199999999
16,1,1st Phase JP Nagar,2.0,1566.0,2.0,180.0,783.0
17,1,1st Phase JP Nagar,1.0,840.0,2.0,50.0,840.0
18,0,1st Phase JP Nagar,3.0,1590.0,3.0,131.0,530.0
19,1,1st Phase JP Nagar,3.0,2180.0,3.0,210.0,726.6666666666666
20,1,1st Phase JP Nagar,2.0,1180.0,2.0,88.5,590.0
21,1,1st Phase JP Nagar,2.0,1200.0,2.0,86.0,600.0
22,1,1st Phase JP Nagar,2.0,1394.0,2.0,85.0,697.0
23,0,1st Phase JP Nagar,3.0,2077.0,3.0,175.0,692.3333333333334
25,1,1st Phase JP Nagar,2.0,1205.0,2.0,85.0,602.5
27,1,1st Phase JP Nagar,2.0,900.0,2.0,75.0,450.0
28,1,2nd Phase Judicial Layout,3.0,1450.0,2.0,50.75,483.3333333333333
29,1,2nd Phase Judicial Layout,2.0,1150.0,2.0,40.25,575.0
30,1,2nd Phase Judicial Layout,3.0,1350.0,2.0,47.25,450.0
31,1,2nd Phase Judicial Layout,3.0,1350.0,2.0,47.25,450.0
32,0,2nd Phase Judicial Layout,2.0,900.0,2.0,41.0,450.0
33,1,2nd Phase Judicial Layout,3.0,1681.0,3.0,69.0,560.3333333333334
34,1,2nd Phase Judicial Layout,3.0,1350.0,2.0,47.25,450.0
35,1,2nd Phase Judicial Layout,2.0,1150.0,2.0,40.25,575.0
36,1,2nd Stage Nagarbhavi,4.0,1500.0,4.0,220.0,375.0
37,1,2nd Stage Nagarbhavi,6.0,3000.0,8.0,451.0,500.0
38,1,2nd Stage Nagarbhavi,6.0,2400.0,8.0,450.0,400.0
39,1,2nd Stage Nagarbhavi,4.0,1350.0,4.0,200.0,337.5
40,1,2nd Stage Nagarbhavi,4.0,1200.0,4.0,225.0,300.0
41,1,2nd Stage Nagarbhavi,4.0,1500.0,3.0,230.0,375.0
42,1,5th Block Hbr Layout,2.0,1206.0,2.0,56.0,603.0
43,1,5th Block Hbr Layout,3.0,1270.0,2.0,70.0,423.3333333333333
44,1,5th Block Hbr Layout,2.0,1312.0,2.0,69.0,656.0
45,1,5th Block Hbr Layout,2.0,1100.0,2.0,48.0,550.0
46,1,5th Block Hbr Layout,5.0,3600.0,5.0,130.0,720.0
47,1,5th Block Hbr Layout,6.0,5100.0,5.0,300.0,850.0
48,1,5th Phase JP Nagar,2.0,1075.0,2.0,60.0,537.5
49,1,5th Phase JP Nagar,2.0,1150.0,3.0,52.5,575.0
50,1,5th Phase JP Nagar,2.0,1256.0,2.0,62.8,628.0
51,1,5th Phase JP Nagar,2.0,1207.0,2.0,63.0,603.5
52,1,5th Phase JP Nagar,3.0,1725.0,2.0,100.0,575.0
53,1,5th Phase JP Nagar,2.0,1440.0,2.0,60.0,720.0
54,1,5th Phase JP Nagar,3.0,1700.0,2.0,100.0,566.6666666666666
56,1,5th Phase JP Nagar,5.0,2500.0,5.0,110.0,500.0
57,1,5th Phase JP Nagar,1.0,600.0,1.0,30.0,600.0
58,1,5th Phase JP Nagar,2.0,1390.0,2.0,65.0,695.0
59,1,5th Phase JP Nagar,2.0,1256.0,2.0,62.8,628.0
60,1,5th Phase JP Nagar,2.0,1000.0,2.0,48.0,500.0
61,1,5th Phase JP Nagar,3.0,1350.0,2.0,75.0,450.0
62,1,5th Phase JP Nagar,1.0,552.0,1.0,23.5,552.0
63,1,5th Phase JP Nagar,2.0,1200.0,2.0,51.0,600.0
67,1,5th Phase JP Nagar,2.0,1030.0,2.0,57.0,515.0
68,1,5th Phase JP Nagar,2.0,1200.0,2.0,68.0,600.0
69,1,5th Phase JP Nagar,2.0,1190.0,2.0,61.8,595.0
70,1,5th Phase JP Nagar,5.0,4000.0,5.0,170.0,800.0
71,1,5th Phase JP Nagar,2.0,1080.0,2.0,53.0,540.0
72,1,5th Phase JP Nagar,2.0,1041.0,2.0,54.0,520.5
73,1,5th Phase JP Nagar,2.0,812.0,2.0,42.0,406.0
74,1,5th Phase JP Nagar,2.0,1010.0,2.0,57.0,505.0
76,1,5th Phase JP Nagar,2.0,1075.0,2.0,60.0,537.5
77,1,6th Phase JP Nagar,2.0,1192.0,2.0,74.0,596.0
78,1,6th Phase JP Nagar,2.0,1180.0,2.0,80.0,590.0
80,1,6th Phase JP Nagar,3.0,1645.0,3.0,100.0,548.3333333333334
81,1,6th Phase JP Nagar,2.0,1140.0,2.0,65.0,570.0
82,1,6th Phase JP Nagar,3.0,2040.0,3.0,200.0,680.0
83,1,6th Phase JP Nagar,2.0,1213.0,2.0,63.0,606.5
84,1,6th Phase JP Nagar,2.0,1216.0,2.0,60.0,608.0
85,1,6th Phase JP Nagar,2.0,1460.0,2.0,80.0,730.0
86,1,6th Phase JP Nagar,3.0,2003.0,3.0,200.0,667.6666666666666
87,1,6th Phase JP Nagar,3.0,1810.0,3.0,131.0,603.3333333333334
88,1,6th Phase JP Nagar,3.0,1515.0,2.0,135.0,505.0
89,1,6th Phase JP Nagar,2.0,1192.0,2.0,75.0,596.0
90,1,6th Phase JP Nagar,2.0,1280.0,2.0,88.0,640.0
91,1,7th Phase JP Nagar,2.0,1080.0,2.0,72.0,540.0
92,1,7th Phase JP Nagar,2.0,1270.0,2.0,93.0,635.0
93,1,7th Phase JP Nagar,3.0,1420.0,2.0,100.0,473.3333333333333
94,1,7th Phase JP Nagar,3.0,1850.0,3.0,150.0,616.6666666666666
95,1,7th Phase JP Nagar,2.0,1245.0,2.0,94.0,622.5
96,1,7th Phase JP Nagar,2.0,1175.0,2.0,82.0,587.5
97,1,7th Phase JP Nagar,3.0,1400.0,2.0,95.0,466.6666666666667
98,0,7th Phase JP Nagar,3.0,2225.0,3.0,160.0,741.6666666666666
99,1,7th Phase JP Nagar,2.0,1050.0,2.0,71.0,525.0
100,1,7th Phase JP Nagar,2.0,1100.0,2.0,46.0,550.0
101,1,7th Phase JP Nagar,2.0,918.0,2.0,50.49,459.0
102,1,7th Phase JP Nagar,3.0,1450.0,2.0,100.0,483.3333333333333
103,1,7th Phase JP Nagar,2.0,1190.0,2.0,49.98,595.0
104,1,7th Phase JP Nagar,3.0,1420.0,2.0,96.0,473.3333333333333
105,1,7th Phase JP Nagar,3.0,1680.0,3.0,120.0,560.0
